ID_PROTOCOLO,CODIGOINVIMA,VERSION,FECHA_PROTOCOLO,FECHA_PREVISTA_TERMINACION,TITULO_CIENTIFICO_PROTOCOLO,TITULO_PUBLICO_PROTOCOLO,NRO_INVESTIGACION_PRIMARIA,FECHA_REGISTRO_OFICIAL_PRIMARIA,NRO_IDENTIFICACION_SECUNDARIA,FECHA_REGISTRO_OFICIAL_SECUNDARIO,PATROCINADOR,CRO,PAIS_DESARROLLA_ACTIVIDAD,FUENTE_FINANCIACION,ESPECIALIDAD_PROTOCOLO,TIPO_INVESTIGACION,CODIGOASIGNADOPATROCINADOR,MOLECULA_ESTUDIO,ORIGEN,ESTADO,ID_MEDICAMENTO,ID_DISPOSITIVOS
1,PI MS 880,1,2019-01-29,2020-02-01,Titulo x,Titulo x,212,2019-01-29,21312,2019-01-29,MERCK SHARP Y DOHME CORP PAREXEL INTERNATIONAL COLOMBIA S A S,CRO1,COLOMBIA,Fuente 1,Especialidda 1,Tipo 1,MK 8835 004 00 B1521021,Molecula 1,Origen 1,APROBADO,3960,
2,PI PF 876,2,2019-02-15,2020-02-01,Titulo x1,Titulo x1,253454,2019-02-15,24524,2019-02-15,PAREXEL INTERNACIONAL COLOMBIA,CRO2,COLOMBIA,Fuente 2,Especialidda 2,Tipo 2,A0081296,Molecula 2,Origen 2,APROBADO,3959,
3,PI MS 898,4,2019-09-01,2020-03-01,Titulo 1,Titulo 1,578756,2019-09-01,23312,2019-09-01,COVANCE COLOMBIA LTDA,CRO3,COLOMBIA,Fuente 3,Especialidda 3,Tipo 3,MK 8835 005,Molecula 3,Origen 3,APROBADO,3958,
4,PI BM 971,6,2018-10-21,2019-12-31,Titulo 2,Titulo 2,2342,2018-10-21,12321,2018-10-21,PPD COLOMBIA SAS,CRO4,COLOMBIA,Fuente 4,Especialidda 4,Tipo 4,CA209168,Molecula 4,Origen 4,APROBADO,3957,
5,PI BM 971,9,2014-08-17,2020-03-01,Titulo y,Titulo y,45645,2014-08-17,1233424,2014-08-17,PPD COLOMBIA SAS,CRO5,COLOMBIA,Fuente 5,Especialidda 5,Tipo 5,CA209168,Molecula 5,Origen 5,APROBADO,3956,
6,PI BM 971,10,2015-01-15,2019-12-31,Titulo x,Titulo x,689697,2015-01-15,436456,2015-01-15,PPD COLOMBIA SAS,CRO6,COLOMBIA,Fuente 6,Especialidda 6,Tipo 6,CA209168,Molecula 6,Origen 6,APROBADO,3955,
7,PI JC 949,7,2016-10-01,2019-12-31,Titulo x2,Titulo x2,34432,2016-10-01,688989,2016-10-01,JANSSEN RESEARCHYDEVELOPMENT LLC PAREXEL INTERNATIONAL,CRO7,COLOMBIA,Fuente 7,Especialidda 7,Tipo 7,RIVAROXDVT 3002 BAY 59 939 17261,Molecula 7,Origen 7,EN CURSO,3954,
8,PI JC 949,4,2019-01-30,2020-02-02,Titulo 2,Titulo 2,234234,2019-01-30,8090,2019-01-30,JANSSEN RESEARCHYDEVELOPMENT LLC PAREXEL INTERNATIONAL,CRO8,COLOMBIA,Fuente 8,Especialidda 8,Tipo 8,RIVAROXDVT 3002 BAY 59 939 17261,Molecula 8,Origen 8,EN CURSO,3953,
9,PI JC 949,2,2019-02-16,2020-02-02,Titulo 3,Titulo 3,657567,2019-02-16,23424,2019-02-16,JANSSEN RESEARCHYDEVELOPMENT LLC PAREXEL INTERNATIONAL,CRO9,COLOMBIA,Fuente 9,Especialidda 9,Tipo 9,RIVAROXDVT 3002 BAY 59 939 17261,Molecula 9,Origen 9,EN CURSO,3952,
10,PI LBI 934,7,2019-09-02,2020-03-02,Titulo y,Titulo y,324234,2019-09-02,21313,2019-09-02,BOEHRINGER INGELHEIM S A INVENTIV HEALTH COLOMBIA S A S,CRO10,COLOMBIA,Fuente 10,Especialidda 10,Tipo 10,BI1160 108,Molecula 10,Origen 10,RECHAZADO,3951,
11,PI HGS 726,9,2018-10-22,2020-01-01,Titulo x,Titulo x,2342,2018-10-22,24525,2018-10-22,HUMAN GENOME SCIENCES INC PAREXEL INTERNATIONAL COLOMBIA S A S,CRO11,COLOMBIA,Fuente 11,Especialidda 11,Tipo 11,HGS1006 C1121,Molecula 11,Origen 11,APROBADO,3950,
12,PI HGS 726,2,2014-08-18,2020-03-02,Titulo x3,Titulo x3,213,2014-08-18,23313,2014-08-18,HUMAN GENOME SCIENCES INC PAREXEL INTERNATIONAL COLOMBIA S A S,CRO12,COLOMBIA,Fuente 12,Especialidda 12,Tipo 12,HGS1006 C1121,Molecula 12,Origen 12,EN CURSO,3949,
13,PI HGS 726,3,2015-01-16,2020-01-01,Titulo 3,Titulo 3,253455,2015-01-16,12322,2015-01-16,HUMAN GENOME SCIENCES INC PAREXEL INTERNATIONAL COLOMBIA S A S,CRO13,COLOMBIA,Fuente 13,Especialidda 13,Tipo 13,HGS1006 C1121,Molecula 13,Origen 13,APROBADO,3948,
14,PI MS 941,5,2016-10-02,2020-01-01,Titulo 4,Titulo 4,578757,2016-10-02,1233425,2016-10-02,MERCK SHARP Y DOHME COLOMBIA S A S,CRO14,COLOMBIA,Fuente 14,Especialidda 14,Tipo 14,MK3475 042,Molecula 14,Origen 14,APROBADO,3947,
15,PI MS 941,7,2019-01-31,2020-02-03,Titulo y,Titulo y,2343,2019-01-31,436457,2019-01-31,MERCK SHARP Y DOHME COLOMBIA S A S,CRO15,COLOMBIA,Fuente 15,Especialidda 15,Tipo 15,MK3475 042,Molecula 15,Origen 15,APROBADO,3946,
16,BI 1321 3,10,2019-02-17,2020-02-03,Titulo x,Titulo x,45646,2019-02-17,688990,2019-02-17,BOEHRINGER INGELHEIM COLOMBIA S A PPD COLOMBIA S A S,CRO16,COLOMBIA,Fuente 16,Especialidda 16,Tipo 16,PI PP 890,Molecula 16,Origen 16,APROBADO,3945,
17,PI ALL 996,11,2019-09-03,2020-03-03,Titulo x4,Titulo x4,689698,2019-09-03,8091,2019-09-03,ALLERGAN PPD COLOMBIA SAS,CRO17,COLOMBIA,Fuente 17,Especialidda 17,Tipo 17,192024 092,Molecula 17,Origen 17,APROBADO,3944,
18,PI ALL 996,8,2018-10-23,2020-01-02,Titulo 4,Titulo 4,34433,2018-10-23,23425,2018-10-23,ALLERGAN PPD COLOMBIA SAS,CRO18,COLOMBIA,Fuente 18,Especialidda 18,Tipo 18,192024 092,Molecula 18,Origen 18,APROBADO,3943,
19,PI ALL 996,5,2014-08-19,2020-03-03,Titulo 5,Titulo 5,234235,2014-08-19,21314,2014-08-19,ALLERGAN PPD COLOMBIA SAS,CRO19,COLOMBIA,Fuente 19,Especialidda 19,Tipo 19,192024 092,Molecula 19,Origen 19,EN CURSO,3942,
20,PI AP 947,3,2015-01-17,2020-01-02,Titulo y,Titulo y,657568,2015-01-17,24526,2015-01-17,ARBOR PHARMACETICAL LLC,CRO20,COLOMBIA,Fuente 20,Especialidda 20,Tipo 20,AR 14 001,Molecula 20,Origen 20,EN CURSO,3941,
21,PI AP 947,8,2016-10-03,2020-01-02,Titulo x,Titulo x,324235,2016-10-03,23314,2016-10-03,ARBOR PHARMACETICAL LLC,CRO21,COLOMBIA,Fuente 21,Especialidda 21,Tipo 21,AR 14 001,Molecula 21,Origen 21,EN CURSO,3940,
22,PI AP 947,10,2019-02-01,2020-02-04,Titulo x5,Titulo x5,2343,2019-02-01,12323,2019-02-01,ARBOR PHARMACETICAL LLC,CRO22,COLOMBIA,Fuente 22,Especialidda 22,Tipo 22,AR 14 001,Molecula 22,Origen 22,RECHAZADO,3939,
23,PI AP 947,3,2019-02-18,2020-02-04,Titulo 5,Titulo 5,214,2019-02-18,1233426,2019-02-18,ARBOR PHARMACETICAL LLC,CRO23,COLOMBIA,Fuente 23,Especialidda 23,Tipo 23,AR 14 001,Molecula 23,Origen 23,APROBADO,3938,
24,PI AZ 886,4,2019-09-04,2020-03-04,Titulo 6,Titulo 6,253456,2019-09-04,436458,2019-09-04,ASTRAZENECA,CRO24,COLOMBIA,Fuente 24,Especialidda 24,Tipo 24,D3251C00004,Molecula 24,Origen 24,EN CURSO,3937,
25,PI AZ 886,6,2018-10-24,2020-01-03,Titulo y,Titulo y,578758,2018-10-24,688991,2018-10-24,ASTRAZENECA,CRO25,COLOMBIA,Fuente 25,Especialidda 25,Tipo 25,D3251C00004,Molecula 25,Origen 25,APROBADO,3936,
26,PI AZ 993,8,2014-08-20,2020-03-04,Titulo x,Titulo x,2344,2014-08-20,8092,2014-08-20,ASTRAZENECA,CRO26,COLOMBIA,Fuente 26,Especialidda 26,Tipo 26,D6230C00001,Molecula 26,Origen 26,APROBADO,3935,
27,PI AZ 993,11,2015-01-18,2020-01-03,Titulo x6,Titulo x6,45647,2015-01-18,23426,2015-01-18,ASTRAZENECA,CRO27,COLOMBIA,Fuente 27,Especialidda 27,Tipo 27,D6230C00001,Molecula 27,Origen 27,APROBADO,3934,
28,PI AZ 993,12,2016-10-04,2020-01-03,Titulo 6,Titulo 6,689699,2016-10-04,21315,2016-10-04,ASTRAZENECA,CRO28,COLOMBIA,Fuente 28,Especialidda 28,Tipo 28,D6230C00001,Molecula 28,Origen 28,APROBADO,3933,
29,PI AZ 993,9,2019-02-02,2020-02-05,Titulo 7,Titulo 7,34434,2019-02-02,24527,2019-02-02,ASTRAZENECA,CRO29,COLOMBIA,Fuente 29,Especialidda 29,Tipo 29,D6230C00001,Molecula 29,Origen 29,APROBADO,3932,
30,PI BH 991,6,2019-02-19,2020-02-05,Titulo y,Titulo y,234236,2019-02-19,23315,2019-02-19,BAYER S A LAT RESEARCH,CRO30,COLOMBIA,Fuente 30,Especialidda 30,Tipo 30,A2502 CODIGO IMPACT16027,Molecula 30,Origen 30,APROBADO,3931,
31,PI BH 991,4,2019-09-05,2020-03-05,Titulo x,Titulo x,657569,2019-09-05,12324,2019-09-05,BAYER S A LAT RESEARCH,CRO31,COLOMBIA,Fuente 31,Especialidda 31,Tipo 31,A2502 CODIGO IMPACT16027,Molecula 31,Origen 31,EN CURSO,3930,
32,PI BH 991,9,2018-10-25,2020-01-04,Titulo x7,Titulo x7,324236,2018-10-25,1233427,2018-10-25,BAYER S A LAT RESEARCH,CRO32,COLOMBIA,Fuente 32,Especialidda 32,Tipo 32,A2502 CODIGO IMPACT16027,Molecula 32,Origen 32,EN CURSO,3929,
33,PI BM 971,11,2014-08-21,2020-03-05,Titulo 7,Titulo 7,2344,2014-08-21,436459,2014-08-21,BRISTOL MYERS SQUIBB REPRESENTADO EN COLOMBIA POR BRISTOL MYERS SQUIBB DE COLOMBIA S A,CRO33,COLOMBIA,Fuente 33,Especialidda 33,Tipo 33,CA209168,Molecula 33,Origen 33,EN CURSO,3928,
34,PI BM 971,4,2015-01-19,2020-01-04,Titulo 8,Titulo 8,215,2015-01-19,688992,2015-01-19,BRISTOL MYERS SQUIBB REPRESENTADO EN COLOMBIA POR BRISTOL MYERS SQUIBB DE COLOMBIA S A PPD COLOMBIA S A S,CRO34,COLOMBIA,Fuente 34,Especialidda 34,Tipo 34,CA209168,Molecula 34,Origen 34,RECHAZADO,3927,
